n_subjects,noise_scaling,p_favour_mel,p_unclear,p_favour_phot,n_sims,n_valid,n_failed,prop_failed
12,6,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
12,7,0.45454545454545453,0.45454545454545453,0.09090909090909091,20,11,9,0.45
12,8,0.75,0.25,0,20,12,8,0.4
12,9,0.45454545454545453,0.5454545454545454,0,20,11,9,0.45
12,10,0,0.9166666666666666,0.08333333333333333,20,12,8,0.4
13,1,1,0,0,20,20,0,0
13,2,1,0,0,20,20,0,0
13,3,1,0,0,20,19,1,0.05
13,4,1,0,0,20,10,10,0.5
13,5,0.8571428571428571,0.14285714285714285,0,20,7,13,0.65
13,6,0.7777777777777778,0.2222222222222222,0,20,9,11,0.55
13,7,0.7777777777777778,0.2222222222222222,0,20,9,11,0.55
13,8,0.375,0.625,0,20,8,12,0.6
13,9,0.1,0.8,0.1,20,10,10,0.5
13,10,0.15384615384615385,0.8461538461538461,0,20,13,7,0.35
14,1,1,0,0,20,20,0,0
14,2,1,0,0,20,19,1,0.05
14,3,1,0,0,20,20,0,0
14,4,1,0,0,20,14,6,0.3
14,5,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
14,6,0.75,0.25,0,20,4,16,0.8
14,7,0.6363636363636364,0.2727272727272727,0.09090909090909091,20,11,9,0.45
14,8,0.25,0.75,0,20,12,8,0.4
14,9,0.36363636363636365,0.45454545454545453,0.18181818181818182,20,11,9,0.45
14,10,0.1,0.9,0,20,10,10,0.5
15,1,1,0,0,20,20,0,0
15,2,1,0,0,20,20,0,0
15,3,1,0,0,20,17,3,0.15
15,4,1,0,0,20,10,10,0.5
15,5,1,0,0,20,9,11,0.55
15,6,0.7272727272727273,0.2727272727272727,0,20,11,9,0.45
15,7,0.6153846153846154,0.38461538461538464,0,20,13,7,0.35
15,8,0.6,0.3,0.1,20,10,10,0.5
15,9,0.4,0.6,0,20,10,10,0.5
15,10,0.09090909090909091,0.9090909090909091,0,20,11,9,0.45
16,1,1,0,0,20,20,0,0
16,2,1,0,0,20,20,0,0
16,3,1,0,0,20,17,3,0.15
16,4,1,0,0,20,9,11,0.55
16,5,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
16,6,0.8333333333333334,0.16666666666666666,0,20,6,14,0.7
16,7,0.5,0,0.5,20,4,16,0.8
16,8,0.5,0.4166666666666667,0.08333333333333333,20,12,8,0.4
16,9,0.1,0.9,0,20,10,10,0.5
16,10,0,1,0,20,11,9,0.45
17,1,1,0,0,20,20,0,0
17,2,1,0,0,20,20,0,0
17,3,1,0,0,20,19,1,0.05
17,4,1,0,0,20,9,11,0.55
17,5,0.75,0.25,0,20,4,16,0.8
17,6,0.8,0.2,0,20,5,15,0.75
17,7,0.6666666666666666,0.16666666666666666,0.16666666666666666,20,12,8,0.4
17,8,0.42857142857142855,0.5,0.07142857142857142,20,14,6,0.3
17,9,0.2222222222222222,0.6666666666666666,0.1111111111111111,20,9,11,0.55
17,10,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
18,1,1,0,0,20,20,0,0
18,2,1,0,0,20,20,0,0
18,3,1,0,0,20,17,3,0.15
18,4,1,0,0,20,17,3,0.15
18,5,1,0,0,20,5,15,0.75
18,6,0.8888888888888888,0,0.1111111111111111,20,9,11,0.55
18,7,0.5384615384615384,0.38461538461538464,0.07692307692307693,20,13,7,0.35
18,8,0.7,0.2,0.1,20,10,10,0.5
18,9,0.07692307692307693,0.9230769230769231,0,20,13,7,0.35
18,10,0,1,0,20,9,11,0.55
19,1,1,0,0,20,20,0,0
19,2,1,0,0,20,20,0,0
19,3,1,0,0,20,17,3,0.15
19,4,1,0,0,20,7,13,0.65
19,5,1,0,0,20,7,13,0.65
19,6,0.625,0.375,0,20,8,12,0.6
19,7,0.7142857142857143,0.2857142857142857,0,20,7,13,0.65
19,8,0.2,0.8,0,20,10,10,0.5
19,9,0.45454545454545453,0.5454545454545454,0,20,11,9,0.45
19,10,0,0.9,0.1,20,10,10,0.5
20,1,1,0,0,20,20,0,0
20,2,1,0,0,20,20,0,0
20,3,1,0,0,20,17,3,0.15
20,4,1,0,0,20,8,12,0.6
20,5,1,0,0,20,3,17,0.85
20,6,0.5,0.5,0,20,4,16,0.8
20,7,0.7142857142857143,0.2857142857142857,0,20,7,13,0.65
20,8,0.7777777777777778,0.1111111111111111,0.1111111111111111,20,9,11,0.55
20,9,0.36363636363636365,0.6363636363636364,0,20,11,9,0.45
20,10,0.46153846153846156,0.5384615384615384,0,20,13,7,0.35
21,1,1,0,0,20,20,0,0
21,2,1,0,0,20,20,0,0
21,3,1,0,0,20,19,1,0.05
21,4,1,0,0,20,14,6,0.3
21,5,1,0,0,20,6,14,0.7
21,6,0.4,0.4,0.2,20,5,15,0.75
21,7,0.5454545454545454,0.36363636363636365,0.09090909090909091,20,11,9,0.45
21,8,0.6,0.3333333333333333,0.06666666666666667,20,15,5,0.25
21,9,0.16666666666666666,0.75,0.08333333333333333,20,12,8,0.4
21,10,0.125,0.875,0,20,8,12,0.6
22,1,1,0,0,20,20,0,0
22,2,1,0,0,20,20,0,0
