driver,n_subjects,noise_scaling,response,model_name,prop_converged,prop_singular,n_fits
mel,5,4,simulated_log10,rho,1,0.055,1000
mel,5,6,simulated_log10,mel,1,0.167,1000
mel,5,6,simulated_log10,phot,1,0.282,1000
mel,5,6,simulated_log10,rho,1,0.177,1000
mel,5,8,simulated_log10,mel,1,0.314,1000
mel,5,8,simulated_log10,phot,0.999,0.438,1000
mel,5,8,simulated_log10,rho,1,0.32,1000
mel,5,10,simulated_log10,mel,1,0.422,1000
mel,5,10,simulated_log10,phot,1,0.5,1000
mel,5,10,simulated_log10,rho,1,0.422,1000
mel,6,0.5,simulated_log10,mel,1,0,1000
mel,6,0.5,simulated_log10,phot,1,0,1000
mel,6,0.5,simulated_log10,rho,1,0,1000
mel,6,1,simulated_log10,mel,1,0,1000
mel,6,1,simulated_log10,phot,1,0,1000
mel,6,1,simulated_log10,rho,1,0,1000
mel,6,2,simulated_log10,mel,1,0.001,1000
mel,6,2,simulated_log10,phot,1,0.006,1000
mel,6,2,simulated_log10,rho,1,0.001,1000
mel,6,4,simulated_log10,mel,1,0.02,1000
mel,6,4,simulated_log10,phot,1,0.069,1000
mel,6,4,simulated_log10,rho,1,0.025,1000
mel,6,6,simulated_log10,mel,1,0.112,1000
mel,6,6,simulated_log10,phot,1,0.23,1000
mel,6,6,simulated_log10,rho,0.999,0.128,1000
mel,6,8,simulated_log10,mel,0.999,0.24,1000
mel,6,8,simulated_log10,phot,1,0.383,1000
mel,6,8,simulated_log10,rho,1,0.246,1000
mel,6,10,simulated_log10,mel,1,0.362,1000
mel,6,10,simulated_log10,phot,1,0.457,1000
mel,6,10,simulated_log10,rho,1,0.369,1000
mel,7,0.5,simulated_log10,mel,1,0,1000
mel,7,0.5,simulated_log10,phot,1,0.001,1000
mel,7,0.5,simulated_log10,rho,1,0,1000
mel,7,1,simulated_log10,mel,1,0,1000
mel,7,1,simulated_log10,phot,1,0,1000
mel,7,1,simulated_log10,rho,1,0,1000
mel,7,2,simulated_log10,mel,1,0,1000
mel,7,2,simulated_log10,phot,1,0,1000
mel,7,2,simulated_log10,rho,1,0,1000
mel,7,4,simulated_log10,mel,1,0.016,1000
mel,7,4,simulated_log10,phot,1,0.06,1000
mel,7,4,simulated_log10,rho,1,0.019,1000
mel,7,6,simulated_log10,mel,1,0.079,1000
mel,7,6,simulated_log10,phot,1,0.18,1000
mel,7,6,simulated_log10,rho,1,0.079,1000
mel,7,8,simulated_log10,mel,1,0.197,1000
mel,7,8,simulated_log10,phot,1,0.303,1000
mel,7,8,simulated_log10,rho,1,0.204,1000
mel,7,10,simulated_log10,mel,1,0.324,1000
mel,7,10,simulated_log10,phot,1,0.426,1000
mel,7,10,simulated_log10,rho,1,0.331,1000
mel,8,0.5,simulated_log10,mel,1,0,1000
mel,8,0.5,simulated_log10,phot,1,0,1000
mel,8,0.5,simulated_log10,rho,1,0,1000
mel,8,1,simulated_log10,mel,1,0,1000
mel,8,1,simulated_log10,phot,1,0,1000
mel,8,1,simulated_log10,rho,1,0,1000
mel,8,2,simulated_log10,mel,1,0,1000
mel,8,2,simulated_log10,phot,1,0.001,1000
mel,8,2,simulated_log10,rho,1,0,1000
mel,8,4,simulated_log10,mel,1,0.005,1000
mel,8,4,simulated_log10,phot,1,0.041,1000
mel,8,4,simulated_log10,rho,1,0.006,1000
mel,8,6,simulated_log10,mel,1,0.064,1000
mel,8,6,simulated_log10,phot,1,0.157,1000
mel,8,6,simulated_log10,rho,1,0.07,1000
mel,8,8,simulated_log10,mel,1,0.153,1000
mel,8,8,simulated_log10,phot,1,0.29,1000
mel,8,8,simulated_log10,rho,1,0.164,1000
mel,8,10,simulated_log10,mel,1,0.259,1000
mel,8,10,simulated_log10,phot,1,0.367,1000
mel,8,10,simulated_log10,rho,1,0.262,1000
mel,9,0.5,simulated_log10,mel,1,0,1000
mel,9,0.5,simulated_log10,phot,1,0,1000
mel,9,0.5,simulated_log10,rho,1,0,1000
mel,9,1,simulated_log10,mel,1,0,1000
mel,9,1,simulated_log10,phot,1,0,1000
mel,9,1,simulated_log10,rho,1,0,1000
mel,9,2,simulated_log10,mel,1,0,1000
mel,9,2,simulated_log10,phot,1,0.001,1000
mel,9,2,simulated_log10,rho,1,0,1000
mel,9,4,simulated_log10,mel,1,0.004,1000
mel,9,4,simulated_log10,phot,1,0.029,1000
mel,9,4,simulated_log10,rho,1,0.004,1000
mel,9,6,simulated_log10,mel,1,0.034,1000
mel,9,6,simulated_log10,phot,1,0.108,1000
mel,9,6,simulated_log10,rho,1,0.036,1000
mel,9,8,simulated_log10,mel,1,0.148,1000
mel,9,8,simulated_log10,phot,1,0.252,1000
mel,9,8,simulated_log10,rho,1,0.155,1000
mel,9,10,simulated_log10,mel,1,0.207,1000
mel,9,10,simulated_log10,phot,1,0.325,1000
mel,9,10,simulated_log10,rho,1,0.212,1000
mel,10,0.5,simulated_log10,mel,1,0,1000
mel,10,0.5,simulated_log10,phot,1,0,1000
mel,10,0.5,simulated_log10,rho,1,0,1000
mel,10,1,simulated_log10,mel,1,0,1000
mel,10,1,simulated_log10,phot,1,0,1000
mel,10,1,simulated_log10,rho,1,0,1000
mel,10,2,simulated_log10,mel,1,0,1000
mel,10,2,simulated_log10,phot,1,0,1000
mel,10,2,simulated_log10,rho,1,0,1000
mel,10,4,simulated_log10,mel,1,0.002,1000
mel,10,4,simulated_log10,phot,1,0.021,1000
mel,10,4,simulated_log10,rho,1,0.002,1000
mel,10,6,simulated_log10,mel,1,0.029,1000
mel,10,6,simulated_log10,phot,1,0.099,1000
mel,10,6,simulated_log10,rho,1,0.034,1000
mel,10,8,simulated_log10,mel,1,0.115,1000
mel,10,8,simulated_log10,phot,1,0.236,1000
mel,10,8,simulated_log10,rho,1,0.129,1000
mel,10,10,simulated_log10,mel,1,0.185,1000
mel,10,10,simulated_log10,phot,1,0.301,1000
mel,10,10,simulated_log10,rho,1,0.2,1000
mel,11,0.5,simulated_log10,mel,1,0,1000
mel,11,0.5,simulated_log10,phot,1,0,1000
mel,11,0.5,simulated_log10,rho,1,0,1000
mel,11,1,simulated_log10,mel,1,0,1000
mel,11,1,simulated_log10,phot,1,0,1000
mel,11,1,simulated_log10,rho,1,0,1000
mel,11,2,simulated_log10,mel,1,0,1000
mel,11,2,simulated_log10,phot,1,0,1000
mel,11,2,simulated_log10,rho,1,0,1000
mel,11,4,simulated_log10,mel,1,0.001,1000
mel,11,4,simulated_log10,phot,1,0.006,1000
mel,11,4,simulated_log10,rho,1,0.001,1000
mel,11,6,simulated_log10,mel,1,0.023,1000
mel,11,6,simulated_log10,phot,1,0.083,1000
mel,11,6,simulated_log10,rho,1,0.026,1000
mel,11,8,simulated_log10,mel,1,0.082,1000
mel,11,8,simulated_log10,phot,1,0.179,1000
mel,11,8,simulated_log10,rho,1,0.087,1000
mel,11,10,simulated_log10,mel,1,0.177,1000
mel,11,10,simulated_log10,phot,1,0.276,1000
mel,11,10,simulated_log10,rho,1,0.193,1000
mel,12,0.5,simulated_log10,mel,1,0,1000
mel,12,0.5,simulated_log10,phot,1,0,1000
mel,12,0.5,simulated_log10,rho,1,0,1000
mel,12,1,simulated_log10,mel,1,0,1000
mel,12,1,simulated_log10,phot,1,0,1000
mel,12,1,simulated_log10,rho,1,0,1000
mel,12,2,simulated_log10,mel,1,0,1000
mel,12,2,simulated_log10,phot,1,0,1000
mel,12,2,simulated_log10,rho,1,0,1000
mel,12,4,simulated_log10,mel,1,0,1000
mel,12,4,simulated_log10,phot,1,0.011,1000
mel,12,4,simulated_log10,rho,1,0,1000
mel,12,6,simulated_log10,mel,1,0.019,1000
mel,12,6,simulated_log10,phot,1,0.066,1000
mel,12,6,simulated_log10,rho,1,0.022,1000
mel,12,8,simulated_log10,mel,1,0.073,1000
mel,12,8,simulated_log10,phot,1,0.17,1000
mel,12,8,simulated_log10,rho,1,0.08,1000
mel,12,10,simulated_log10,mel,1,0.166,1000
mel,12,10,simulated_log10,phot,1,0.263,1000
mel,12,10,simulated_log10,rho,1,0.172,1000
mel,13,0.5,simulated_log10,mel,1,0,1000
mel,13,0.5,simulated_log10,phot,1,0,1000
mel,13,0.5,simulated_log10,rho,1,0,1000
mel,13,1,simulated_log10,mel,1,0,1000
mel,13,1,simulated_log10,phot,1,0,1000
mel,13,1,simulated_log10,rho,1,0,1000
mel,13,2,simulated_log10,mel,1,0,1000
mel,13,2,simulated_log10,phot,1,0,1000
mel,13,2,simulated_log10,rho,1,0,1000
mel,13,4,simulated_log10,mel,1,0.001,1000
mel,13,4,simulated_log10,phot,1,0.006,1000
mel,13,4,simulated_log10,rho,1,0.001,1000
mel,13,6,simulated_log10,mel,1,0.018,1000
mel,13,6,simulated_log10,phot,1,0.065,1000
mel,13,6,simulated_log10,rho,1,0.019,1000
mel,13,8,simulated_log10,mel,1,0.069,1000
mel,13,8,simulated_log10,phot,1,0.154,1000
mel,13,8,simulated_log10,rho,1,0.073,1000
mel,13,10,simulated_log10,mel,1,0.13,1000
mel,13,10,simulated_log10,phot,1,0.238,1000
mel,13,10,simulated_log10,rho,1,0.136,1000
mel,14,0.5,simulated_log10,mel,1,0,1000
mel,14,0.5,simulated_log10,phot,1,0,1000
mel,14,0.5,simulated_log10,rho,1,0,1000
mel,14,1,simulated_log10,mel,1,0,1000
mel,14,1,simulated_log10,phot,1,0,1000
mel,14,1,simulated_log10,rho,1,0,1000
mel,14,2,simulated_log10,mel,1,0,1000
mel,14,2,simulated_log10,phot,1,0,1000
mel,14,2,simulated_log10,rho,1,0,1000
mel,14,4,simulated_log10,mel,1,0,1000
mel,14,4,simulated_log10,phot,1,0.006,1000
mel,14,4,simulated_log10,rho,1,0.001,1000
mel,14,6,simulated_log10,mel,1,0.013,1000
mel,14,6,simulated_log10,phot,1,0.056,1000
mel,14,6,simulated_log10,rho,1,0.014,1000
mel,14,8,simulated_log10,mel,1,0.057,1000
mel,14,8,simulated_log10,phot,1,0.143,1000
mel,14,8,simulated_log10,rho,1,0.066,1000
mel,14,10,simulated_log10,mel,1,0.136,1000
mel,14,10,simulated_log10,phot,1,0.235,1000
mel,14,10,simulated_log10,rho,1,0.136,1000
mel,15,0.5,simulated_log10,mel,1,0,1000
mel,15,0.5,simulated_log10,phot,1,0,1000
mel,15,0.5,simulated_log10,rho,1,0,1000
mel,15,1,simulated_log10,mel,1,0,1000
mel,15,1,simulated_log10,phot,1,0,1000
mel,15,1,simulated_log10,rho,1,0,1000
mel,15,2,simulated_log10,mel,1,0,1000
mel,15,2,simulated_log10,phot,1,0,1000
mel,15,2,simulated_log10,rho,1,0,1000
mel,15,4,simulated_log10,mel,1,0,1000
mel,15,4,simulated_log10,phot,1,0.001,1000
mel,15,4,simulated_log10,rho,1,0,1000
mel,15,6,simulated_log10,mel,1,0.005,1000
mel,15,6,simulated_log10,phot,1,0.048,1000
mel,15,6,simulated_log10,rho,1,0.007,1000
mel,15,8,simulated_log10,mel,1,0.049,1000
mel,15,8,simulated_log10,phot,1,0.124,1000
mel,15,8,simulated_log10,rho,1,0.053,1000
mel,15,10,simulated_log10,mel,1,0.112,1000
mel,15,10,simulated_log10,phot,1,0.208,1000
mel,15,10,simulated_log10,rho,1,0.12,1000
mel,16,0.5,simulated_log10,mel,1,0,1000
mel,16,0.5,simulated_log10,phot,1,0,1000
mel,16,0.5,simulated_log10,rho,1,0,1000
mel,16,1,simulated_log10,mel,1,0,1000
mel,16,1,simulated_log10,phot,1,0,1000
mel,16,1,simulated_log10,rho,1,0,1000
mel,16,2,simulated_log10,mel,1,0,1000
mel,16,2,simulated_log10,phot,1,0,1000
mel,16,2,simulated_log10,rho,1,0,1000
mel,16,4,simulated_log10,mel,1,0,1000
mel,16,4,simulated_log10,phot,1,0.002,1000
