driver,noise_scaling,n_subjects,evidence,n,prop
mel,2,41,No clear preference,0,0
mel,2,42,Favours mel model,1000,1
mel,2,42,Favours phot model,0,0
mel,2,42,Favours rho model,0,0
mel,2,42,No clear preference,0,0
mel,2,43,Favours mel model,1000,1
mel,2,43,Favours phot model,0,0
mel,2,43,Favours rho model,0,0
mel,2,43,No clear preference,0,0
mel,2,44,Favours mel model,1000,1
mel,2,44,Favours phot model,0,0
mel,2,44,Favours rho model,0,0
mel,2,44,No clear preference,0,0
mel,2,45,Favours mel model,1000,1
mel,2,45,Favours phot model,0,0
mel,2,45,Favours rho model,0,0
mel,2,45,No clear preference,0,0
mel,2,46,Favours mel model,1000,1
mel,2,46,Favours phot model,0,0
mel,2,46,Favours rho model,0,0
mel,2,46,No clear preference,0,0
mel,2,47,Favours mel model,1000,1
mel,2,47,Favours phot model,0,0
mel,2,47,Favours rho model,0,0
mel,2,47,No clear preference,0,0
mel,2,48,Favours mel model,1000,1
mel,2,48,Favours phot model,0,0
mel,2,48,Favours rho model,0,0
mel,2,48,No clear preference,0,0
mel,2,49,Favours mel model,1000,1
mel,2,49,Favours phot model,0,0
mel,2,49,Favours rho model,0,0
mel,2,49,No clear preference,0,0
mel,2,50,Favours mel model,1000,1
mel,2,50,Favours phot model,0,0
mel,2,50,Favours rho model,0,0
mel,2,50,No clear preference,0,0
mel,4,2,Favours mel model,234,0.234
mel,4,2,Favours phot model,10,0.01
mel,4,2,Favours rho model,38,0.038
mel,4,2,No clear preference,718,0.718
mel,4,3,Favours mel model,348,0.348
mel,4,3,Favours phot model,6,0.006
mel,4,3,Favours rho model,49,0.049
mel,4,3,No clear preference,597,0.597
mel,4,4,Favours mel model,435,0.435
mel,4,4,Favours phot model,1,0.001
mel,4,4,Favours rho model,56,0.056
mel,4,4,No clear preference,508,0.508
mel,4,5,Favours mel model,452,0.452
mel,4,5,Favours phot model,0,0
mel,4,5,Favours rho model,73,0.073
mel,4,5,No clear preference,475,0.475
mel,4,6,Favours mel model,514,0.514
mel,4,6,Favours phot model,1,0.001
mel,4,6,Favours rho model,62,0.062
mel,4,6,No clear preference,423,0.423
mel,4,7,Favours mel model,584,0.584
mel,4,7,Favours phot model,0,0
mel,4,7,Favours rho model,67,0.067
mel,4,7,No clear preference,349,0.349
mel,4,8,Favours mel model,594,0.594
mel,4,8,Favours phot model,0,0
mel,4,8,Favours rho model,79,0.079
mel,4,8,No clear preference,327,0.327
mel,4,9,Favours mel model,624,0.624
mel,4,9,Favours phot model,0,0
mel,4,9,Favours rho model,84,0.084
mel,4,9,No clear preference,292,0.292
mel,4,10,Favours mel model,656,0.656
mel,4,10,Favours phot model,0,0
mel,4,10,Favours rho model,72,0.072
mel,4,10,No clear preference,272,0.272
mel,4,11,Favours mel model,696,0.696
mel,4,11,Favours phot model,0,0
mel,4,11,Favours rho model,71,0.071
mel,4,11,No clear preference,233,0.233
mel,4,12,Favours mel model,721,0.721
mel,4,12,Favours phot model,0,0
mel,4,12,Favours rho model,46,0.046
mel,4,12,No clear preference,233,0.233
mel,4,13,Favours mel model,736,0.736
mel,4,13,Favours phot model,0,0
mel,4,13,Favours rho model,57,0.057
mel,4,13,No clear preference,207,0.207
mel,4,14,Favours mel model,759,0.759
mel,4,14,Favours phot model,0,0
mel,4,14,Favours rho model,56,0.056
mel,4,14,No clear preference,185,0.185
mel,4,15,Favours mel model,783,0.783
mel,4,15,Favours phot model,0,0
mel,4,15,Favours rho model,44,0.044
mel,4,15,No clear preference,173,0.173
mel,4,16,Favours mel model,805,0.805
